,C1,C2,C3,C4,C5,C6,cluster
0,3.0,2.75,2.25,2.25,3.0,1.75,2
1,3.25,3.0,1.75,2.75,2.25,3.0,1
2,3.0,2.5,2.75,2.75,2.75,2.0,2
3,3.5,3.5,3.25,2.75,2.25,4.25,1
4,3.75,3.5,2.5,1.25,2.5,3.25,1
5,4.25,4.75,2.0,2.75,2.25,4.25,1
6,3.75,2.0,4.0,3.25,2.25,2.0,2
7,2.25,2.5,2.25,2.0,4.5,1.5,2
8,3.0,3.25,2.75,2.0,3.75,3.25,1
9,3.25,2.25,3.25,3.75,3.75,1.75,2
10,2.75,1.75,3.75,3.5,2.0,1.25,2
11,3.75,1.75,3.5,4.5,3.25,1.75,2
12,3.75,2.25,3.0,4.5,2.5,1.0,2
13,4.0,4.0,2.3333,3.3333,1.6667,4.3333,1
14,4.0,4.3333,1.6667,3.0,2.3333,4.0,1
15,1.6667,1.3333,4.0,1.6667,3.0,1.3333,0
16,2.3333,2.0,4.0,3.3333,2.3333,1.0,2
17,3.6667,4.0,2.0,2.3333,3.6667,4.6667,1
18,4.0,4.0,2.3333,2.0,2.0,3.6667,1
19,3.0,2.6667,3.6667,3.6667,2.6667,2.0,2
20,3.3333,2.3333,3.3333,3.0,3.0,1.6667,2
21,3.3333,1.3333,2.6667,3.3333,2.6667,2.0,2
22,2.6667,2.6667,1.6667,3.3333,2.0,1.0,2
23,2.0,4.0,1.0,1.3333,2.3333,4.6667,1
24,2.0,1.0,4.3333,2.3333,3.0,1.0,0
25,2.3333,1.6667,3.6667,3.6667,2.3333,1.3333,2
26,1.0,1.3333,3.3333,1.0,1.6667,1.6667,0
27,4.0,4.3333,1.6667,2.0,2.6667,5.0,1
28,3.3333,3.3333,3.0,4.3333,3.0,2.3333,2
29,1.0,1.0,1.0,1.0,1.0,1.0,0
30,4.3333,4.6667,1.0,3.0,2.3333,4.0,1
31,1.0,2.0,3.3333,1.3333,3.6667,4.0,0
32,2.3333,2.3333,2.0,2.0,3.6667,2.6667,1
33,1.6667,1.3333,2.3333,1.6667,1.6667,1.6667,0
34,3.6667,3.6667,2.0,3.0,4.3333,1.6667,2
35,3.3333,3.6667,2.6667,1.3333,2.0,4.3333,1
36,4.0,3.0,1.6667,4.3333,1.3333,1.0,2
37,2.0,3.0,2.0,2.0,1.6667,2.3333,0
38,3.3333,4.0,1.3333,3.0,3.3333,4.6667,1
39,2.0,2.3333,2.3333,1.6667,3.3333,4.0,1
40,1.0,1.0,3.6667,2.3333,2.3333,1.3333,0
41,4.3333,4.3333,2.3333,2.3333,1.6667,4.3333,1
42,1.6667,2.3333,2.3333,2.3333,1.6667,2.0,0
43,4.3333,4.6667,1.0,3.0,3.3333,4.6667,1
44,1.0,1.0,4.6667,3.3333,3.6667,1.0,0
45,1.0,1.6667,4.3333,1.0,1.6667,3.0,0
46,3.3333,4.6667,1.0,1.6667,4.0,4.3333,1
47,4.0,3.3333,1.6667,3.0,1.0,1.3333,2
48,3.0,2.6667,1.3333,2.3333,4.3333,2.6667,1
49,1.3333,3.0,1.6667,1.3333,1.3333,1.3333,0
50,3.3333,2.6667,2.6667,3.6667,3.6667,2.0,2
51,3.0,2.6667,2.3333,3.0,4.6667,2.0,2
52,3.6667,4.0,1.0,1.3333,3.0,4.3333,1
53,3.3333,2.3333,2.0,2.3333,3.6667,1.6667,2
54,3.3333,3.6667,1.6667,2.0,3.0,3.6667,1
55,2.6667,1.3333,3.6667,2.6667,5.0,2.6667,2
56,3.6667,4.0,4.0,3.0,2.0,3.6667,1
57,4.3333,4.3333,1.0,1.3333,2.3333,4.3333,1
58,1.3333,1.0,4.6667,1.6667,2.6667,2.3333,0
59,2.6667,2.6667,2.3333,1.6667,2.3333,3.6667,1
60,3.0,3.3333,2.0,3.0,3.0,2.3333,2
61,2.6667,3.0,3.6667,3.6667,1.0,2.0,2
62,4.3333,5.0,1.0,1.6667,3.6667,4.6667,1
63,2.6667,3.0,1.0,1.0,1.3333,3.0,1
64,3.3333,3.0,3.3333,3.0,2.3333,3.6667,1
65,2.3333,2.6667,4.3333,1.0,1.3333,2.3333,0
66,3.6667,4.3333,1.3333,1.3333,3.0,5.0,1
67,2.0,1.6667,3.6667,2.3333,1.0,1.6667,0
68,3.6667,2.3333,1.6667,3.3333,3.6667,2.6667,2
69,3.0,2.0,3.3333,4.0,1.3333,1.0,2
70,3.0,4.0,2.3333,1.6667,3.6667,3.6667,1
71,3.6667,1.3333,4.6667,4.3333,2.3333,1.6667,2
72,3.0,3.3333,1.3333,1.0,2.0,4.3333,1
73,3.3333,3.0,4.0,4.0,4.0,2.6667,2
74,4.0,4.6667,1.0,1.0,4.3333,4.3333,1
75,3.3333,3.6667,2.6667,2.6667,2.0,2.3333,2
76,2.6667,2.0,2.3333,3.0,3.6667,1.6667,2
77,3.3333,4.3333,2.6667,2.0,3.0,4.0,1
78,4.0,4.0,1.3333,2.6667,4.0,4.0,1
79,3.3333,1.6667,3.0,3.3333,1.6667,2.3333,2
80,2.0,1.0,4.6667,3.0,5.0,1.3333,2
81,3.0,2.6667,1.3333,1.0,5.0,2.0,1
82,3.0,3.0,3.0,1.6667,2.0,2.6667,0
83,3.0,2.6667,3.0,3.0,2.6667,1.3333,2
84,2.0,2.6667,3.6667,1.3333,2.6667,2.6667,0
85,3.3333,3.6667,1.6667,2.6667,4.0,4.3333,1
86,3.0,1.6667,3.6667,3.3333,3.0,1.3333,2
87,2.3333,2.6667,2.6667,1.6667,3.0,3.0,1
88,1.6667,1.0,3.6667,3.0,2.0,1.0,0
89,3.6667,4.0,1.6667,1.0,2.3333,3.3333,1
90,4.0,3.0,2.3333,4.3333,1.3333,2.3333,2
91,4.3333,3.6667,2.0,3.6667,3.3333,2.3333,2
92,4.3333,4.3333,1.3333,2.3333,4.0,3.6667,1
93,2.6667,1.3333,4.3333,4.6667,1.6667,1.6667,2
94,3.6667,4.0,3.0,2.6667,3.0,4.0,1
95,2.6667,4.0,3.0,1.0,2.6667,3.3333,1
96,1.6667,2.0,4.0,1.3333,1.6667,2.3333,0
97,3.3333,2.0,4.0,3.6667,2.0,1.0,2
98,4.0,4.0,3.3333,2.6667,2.0,4.0,1
99,2.0,2.0,4.0,2.3333,1.3333,1.6667,0
100,3.6667,4.0,1.0,2.0,3.0,3.3333,1
101,3.3333,3.6667,2.3333,1.3333,2.6667,3.6667,1
102,2.3333,1.0,3.6667,1.3333,3.0,1.0,0
